,author,text,likes,published_at,Unnamed: 0
2118,@HannahwambuiKiharu,That was really bad,0,2025-05-06T01:57:37Z,1789.0
2119,@ayarobertson919,There’s clearly something wrong with Hannah Mali ya umma. Sabrina is calm & collected and mature. This is not TikTok,25,2025-05-06T01:57:04Z,1790.0
2120,@nancymacharia5088,Obinna one day utakosa guest's.... You can not watch your guest being disrespected and walk away leaving the criminal there to continue shouting.... How safe are your guests????? Hanna Benta is too ghetto and deserves no airtime..,0,2025-05-06T01:56:11Z,1791.0
2121,@brendahmukiri5025,Hii umbwa inaitwa Hanna  Iko bitter why 😂😂😂anakuja kufukuza wengine,1,2025-05-06T01:56:09Z,1792.0
2122,@GloriaMugo-c9w,Mngetoa culture hapo after hannah alikam it was embarrassing,0,2025-05-06T01:54:30Z,1793.0
2123,@marywanjiku208,"OBINNA MWIBA WA KUJITAKIA HAUNA POLE.MKORA CALLED AND YOU AS OBINNA ALLOWED HER TO COME,THEN AKAHARIBU SHOW YAKO.WHAT CAN YOU SAY ABOUT THAT?? YOU ALSO DISRESPECTED KINA SABRINA BY ALLOWING MBILIKIMO TO GATE CRASH",0,2025-05-06T01:51:29Z,1794.0
2124,@MsSaja-g1i,I support Hannah 💯 i like her  courage ❤❤❤❤❤❤❤,20,2025-05-06T01:49:16Z,1795.0
2125,@ritamuthoni8179,"You people are against Hannah na Sabrina ndio  alimuita,,,, then Sabrina alienjoy kwa io r/ship  akinyonya  d$k  . 😂😂  sai yy ni saint Hannah ndio mbaya  ,,,, Time yake ya  kupewa iliisha wacha Hannah aenjoy in peace.",0,2025-05-06T01:47:59Z,1796.0
2126,@KevooMaina,Obinna wee ni falaa,0,2025-05-06T01:41:08Z,1797.0
2127,@wambuaagatha,Yooh this is more than serious,0,2025-05-06T01:41:05Z,1798.0
2128,@jasminewest6826,This not normal men! Hannah must be getting something so precious from Captain to sink her morals that low.,0,2025-05-06T01:40:10Z,1799.0
2129,@faithkomen24,Wewe umeskia hanna ametopoa siri ati sabrina alikua ananyonya sammir..Na maybe culture hajawahi nyonywa😢,0,2025-05-06T01:34:51Z,1800.0
2130,@Mohwanjiru,Hannah is lieing😅😅😅 someone can tell,0,2025-05-06T01:33:26Z,1801.0
2131,@amissamathondo2584,Letter to Hannah better; sister in 10 years down the line you will regret this life you are leaving now; ; your bar is low baby girl; what happened to dignity; self worth ; my love find yourself and fixe yourself; Hannah mama internet does not forget,12,2025-05-06T01:31:31Z,1802.0
2132,@Mohwanjiru,"Obinna kama hizo papers za Hannah Ako nazo ni za aghakan na walikuwa wamepima kisii,,it means Hannah zile dawa alipewa kisii na akaanza kuzitumia ndo zilimponya ndo akarudi akakuja akarudia test tena aghakan ndo ikatoka negative😅😅,so somehow Sabrina is talking the truth,,atupee za kisii😅😅",0,2025-05-06T01:31:12Z,1803.0
2133,@carolmackoma5097,Mbona Obbina sikuhizi utuletee drama za TikTok,0,2025-05-06T01:29:28Z,1804.0
2134,@ReenAishahali,"I don't why I like this gal young  but very mature,demu ❤❤",27,2025-05-06T01:28:01Z,1805.0
2135,@elvisbabu1324,Interview ingine imechoka kweli,0,2025-05-06T01:27:50Z,1806.0
2136,@WambuiiKimani,Obinna this is so unprofessional. It is so wrong in so many ways,0,2025-05-06T01:25:11Z,1807.0
2137,@cynthiadestiny358,the way obinna is saying kalikali trying to mimic the guy is making me die of laughter😂😂😂😂😂😂,43,2025-05-06T01:25:08Z,1808.0
2138,@sirndemabling,Wanaume tutafute pesa tusijipate kwa situation kama ya culture,0,2025-05-06T01:23:10Z,1809.0
2139,@KavayaKikuyu,Aty hakuwa na birth certificate na alipatawapi id ww 😂😂😂😂kwenda uuguze kaswende polepole bana,0,2025-05-06T01:20:56Z,1810.0
2140,@Teresamiriam,Weee hiii ni aibu ya mwaka nimekimbia kutoka TikTok kujionea live YouTube,1,2025-05-06T01:20:30Z,1811.0
2141,@Perihoss,Hanna benta reminds Lucy Kibaki walking in tv station without invitation 😅,25,2025-05-06T01:17:33Z,1812.0
2142,@cessirungu6355,"Hannah chake ki motoni,chai yake najua tutakunywa soon. Huyo pep wake ataleta chai soon.",0,2025-05-06T01:17:07Z,1813.0
2143,@faithchepkirui7533,I hate drama😂😂😂,0,2025-05-06T01:15:09Z,1814.0
2144,@Mohwanjiru,Sabrina is so calm❤❤,8,2025-05-06T01:12:23Z,1815.0
2145,@joanmunyeki2040,Upcoming youtubers lets gather here & grow together💯✅️,2,2025-05-06T01:12:17Z,1816.0
2146,@familyguy-k12,Obina na hannah kitu kimoja ulimwagiwa maji ukasema fake friend na wew ndio kiongozi wa fake friend ungekufa kama ungesema hanna atoke kwa show ama hanna anakupea vitu ndio uliona utanyimwa sababu hanna awezi add anything kwa show yako hio view wa leo tuu,0,2025-05-06T01:11:41Z,1817.0
2147,@bettyngonga4999,Obina you did wrong. You cannot allow somebody to get crush other people's interview. That was a very big mistake and at the same time you know. Hannah with that big mouth  that was a very big mistake. I like to watch you are sure but this was a very big mistake,0,2025-05-06T01:11:26Z,1818.0
2148,@elvismakowiti2865,This is kenyan's top show . How I wish obinna had searched for that boy who was narrating story in that BBC documetary. this is dissapointment na venye nmesema hivo mwenye show atasema mmi ni fake fan na singewatch .,55,2025-05-06T01:10:53Z,1819.0
2149,@dianaingato7833,I love the courage of Hannah  she knows her value,0,2025-05-06T01:07:42Z,1820.0
2150,@NjokiMwangi-x1d,Am so disappointed with hanna very bad that couple was just disrespected i think it was bad thisp is not tiktok n am happy sabrina was calm hanna is very mannaless very disrespectful lady she dont know hiw to differentiate platform hii sio page take ya tiktok  she is trying hard to explain thus people should see jow trisha khalid morin actress sheryl are using their platforms to better themselves,0,2025-05-06T01:06:47Z,1821.0
2151,@dianaingato7833,Kisiii never dissapoints 😂😂😂😂wacha niende coast pasiii,1,2025-05-06T01:01:50Z,1822.0
2152,@ndunguwamburu9254,Culture si ujitoe Tu faala hi,1,2025-05-06T01:01:26Z,1823.0
2153,@marywanjiku208,Na Sabrina huwa na nyota ya watu wako na deep accent ya kikisii😅,0,2025-05-06T00:59:10Z,1824.0
2154,@DorcasAyuma-c2g,Its. 3:58am i swear 🤣🤣🤣…Dunia simama nishuke,1,2025-05-06T00:58:50Z,1825.0
2155,@faithkomen24,Ati mtu aĺikua ananyesha,0,2025-05-06T00:55:25Z,1826.0
2156,@Zynhaa3,sasa mbilikimo amekuja kuharibu interview ya watu😂😂,0,2025-05-06T00:55:05Z,1827.0
2157,@masterswriters7812,"You have to be responsible for being unprofessional in this interview, Obinna. Why invite Hanna when the show is for the couple? You really needed to respect their space with decorum. This is uncalled for, and the worst interview. Please apologize to Culture",0,2025-05-06T00:53:55Z,1828.0
2158,@cynthiadestiny358,wueh imebidi niamke kuwatch🤣🤣🤣 kumotoo...lkn huyo boyfriend wa sabrina amebant..hata kma ni love wuehh,0,2025-05-06T00:53:50Z,1829.0
2159,@Arte_Creatives4Interiors,Apologies for Culture family OBINNA,1,2025-05-06T00:53:09Z,1830.0
2160,@ndunguwamburu9254,Hawa madame nowadays ni Dustbin 😢😢😢😮😮,1,2025-05-06T00:52:41Z,1831.0
2161,@isaiahmutugi5750,nice script😅😅,1,2025-05-06T00:50:54Z,1832.0
2162,@snganga1,"Culture Asanti kunyamaza, madame watatu wakibonga",18,2025-05-06T00:50:09Z,1833.0
2163,@ZippyKamaa-z4x,🙄🙄🙄🙄,0,2025-05-06T00:49:57Z,1834.0
2164,@Chairlady63,Hannah is very confident I like her anasema ukweli,2,2025-05-06T00:49:32Z,1835.0
2165,@GeorginaNdungu,Hannah benta you did good to appear and say your right mind 👍🏿 Sabrina ni kaswende kaongo and she have new Boyfriend jumping frm one to another 😂😆 culture ata hanya tu😂😂🤣 haga ni sweet noma,1,2025-05-06T00:48:41Z,1836.0
2166,@faithbecky6385,Waaaa nasikia kusema kitu lakini wacha nimalize   video but😢😂😂😂😂😂😂 I think lakini wacha ni mind ma business 😢,0,2025-05-06T00:45:35Z,1837.0
2167,@SheinaM-qr5gs,"Obinna that was so unprofessional of you to let this girl  interrupt a scheduled interview.  Feels more like a setup . SABRINA thank you for walking away and maintaining your dignity, for even composing your person and asking him not to react to Hannah provocation. Hannah you will find a man who will not tolerate your disrespect, Kitakuramba. Umebant. Don’t  mtu ako YUES fool you, things are different kwa hiyo ground yake",0,2025-05-06T00:45:28Z,1838.0
2168,@milcahgetanda9362,Obinna shame on you !!you played dirty,0,2025-05-06T00:39:33Z,1839.0
2169,@cynthianasimiyu1147,Sabrina anaambia captain ascent yet huyo culture wake ndo worse😅😅. She's bitter 😂,0,2025-05-06T00:38:38Z,1840.0
2170,@stevenjuguna7700,"Huyu Hanna hujiona sukari Sana... likes attention,kujigamba....as stupid as it can be",0,2025-05-06T00:38:29Z,1841.0
2171,@JedidahAyesa,Direspect mbona alileta za agakhan,0,2025-05-06T00:38:11Z,1842.0
2172,@Sarahmutio-u6q,Msijifanye hamjaona uyo babu anaitwa beb n sabrina😂😂😂😂😂😂 i better stay single,5,2025-05-06T00:35:36Z,1843.0
2173,@cynthianasimiyu1147,Hanna ni mkweli,0,2025-05-06T00:34:44Z,1844.0
2174,@Grace-v4g,Mara iphone mara rent ya 80 k mara am driving....kubrag mingi ni ya nini msichana....aiii😏😏unaboo,5,2025-05-06T00:32:56Z,1845.0
2175,@TinaMuhammad1,Should be last TikTok couple on board,0,2025-05-06T00:31:17Z,1846.0
2176,@FootballTV-l3j,All in all evidence is key in everything..,0,2025-05-06T00:30:55Z,1847.0
2177,@janekibui9239,Eti 80K rent,0,2025-05-06T00:28:32Z,1848.0
2178,@ReggyMamanyi,Hanna kaswende why are you shouting?,0,2025-05-06T00:26:52Z,1849.0
2179,@NickDickens-12,1:59:10 wuehh 😂,0,2025-05-06T00:25:32Z,1850.0
2180,@Grace-v4g,Sasa hannah anadhani anaeza piga sabrina😂😂😂😂😂,1,2025-05-06T00:23:09Z,1851.0
2181,@BrendahOtieno-p3k,Obbzy leo umetuangusha huwa tunakuaminia bt hii aki,0,2025-05-06T00:22:20Z,1852.0
2182,@Gloria-ez1jc,Hizi midomo za Hanna zinakuanga na shda gani🤣🤣,0,2025-05-06T00:20:40Z,1853.0
2183,@Teresamiriam,Huyu kijana na na shemutoi akili zao zinafanana,0,2025-05-06T00:19:11Z,1854.0
2184,@maryannewanjiku2941,Mbwa ghasia jinga sana,0,2025-05-06T00:17:07Z,1855.0
2185,@maryannewanjiku2941,Kisichana kijinga kama matako yake,0,2025-05-06T00:16:34Z,1856.0
2186,@norahmwende9517,Hannah amekoda juu ya love 😅😅😅,0,2025-05-06T00:16:33Z,1857.0
2187,@cynthiakimtai7787,Sasa obinna amekaliwaa kwa show yake....i used to like hanna but now i hate her...,0,2025-05-06T00:16:17Z,1858.0
2188,@WinfredKinya-c2w,"Hanna kama una kaswende leta evidence ya kisii hospital ,,,mbwa hii birikimo mkora",0,2025-05-06T00:15:43Z,1859.0
2189,@Teresamiriam,Obinna anachungulia wakipeana maneno,0,2025-05-06T00:15:28Z,1860.0
2190,@evancemasiga3687,Obina am you fan lakini apa umechomaa,0,2025-05-06T00:13:25Z,1861.0
2191,@rahabnjoki5040,Hannah yuko depressed guy's weeh its going crazy day by day,0,2025-05-06T00:12:52Z,1862.0
2192,@marymwangi5546,Hannah akilii kama ya kukuu......,0,2025-05-06T00:11:13Z,1863.0
2193,@oscar-kibet,Quite uncalled for and insensitive.,0,2025-05-06T00:11:09Z,1864.0
2194,@Abigaelnyamusi-k6v,It's normal it's ok😂😂😂😂guys kwa kiss i swear nimeshy kwa hii interview since ilianza 😅😅😅 am like wait wakisii wetu akii yawah 😅😅 but Hannah walai wewe hapana 🫤🫤🫤🫤👿👿👿👿👿👿,1,2025-05-06T00:10:27Z,1865.0
2195,@Rosaline-k7g,Tofauti ya Hanna na mbuzi ni miaka tu😅😅😅,0,2025-05-06T00:10:26Z,1866.0
2196,@susannyasimi-mq7ox,Hanna anaweza piga nani surely🤣🤣🤣🤣🤣🤣,0,2025-05-06T00:09:55Z,1867.0
2197,@Sarahmutio-u6q,"I really love hanna mnamchukia bure  n bado anaendelea, she's very beautiful",52,2025-05-06T00:09:45Z,1868.0
2198,@ashleyseche8082,Hannah bentah ❤,0,2025-05-06T00:09:27Z,1869.0
2199,@DianaNjeri-nu1bw,Sabrina is foolish just that how can you invite your boyfriend ex shhiiiiieeeez,0,2025-05-06T00:09:12Z,1870.0
2200,@thomasMunyao-u5x,"Obina leo umeangusha show, sasa aka ka kitu benta ametoka wapi n interview si yake",1,2025-05-06T00:07:12Z,1871.0
2201,@PKchumbaa,"Kumbavu zangu kuwatch Hannah kasuku💔..

Much love subrinah..wewe niwa 2002 lakini uko na akili kushinda shosho Hannah 😢💔",33,2025-05-06T00:06:51Z,1872.0
2202,@brandynewton4032,"Sammir and Hanna are very Vulgar,they deserve eachother.But Hanna,must you shout to pass a  point??",0,2025-05-06T00:06:08Z,1873.0
2203,@PamelaAlema,Cyndy tu ndio dawa ya Anna benta,0,2025-05-06T00:05:41Z,1874.0
2204,@moh4409,Culture and Sabrina is one immatured relationship ....,0,2025-05-06T00:04:53Z,1875.0
2205,@charleslwanga2803,Yaani hanna kamekauka uso vibaya😂😂😂,0,2025-05-06T00:04:52Z,1876.0
2206,@prudence3296,hii ni chang'aa 😂😂😂,0,2025-05-06T00:03:43Z,1877.0
2207,@EUNICEADISASEKA,Obina unafanya pia mbona uite Hannahbent Kwa Kwa show  yenye siyake😢😢😢  obina akanisinye saana😮😮,1,2025-05-06T00:01:56Z,1878.0
2208,@ENGGeoff,Kaswede family,0,2025-05-06T00:01:41Z,1879.0
2209,@ENGGeoff,This was pre bullshit  that  obina had to bring this here to get views 😂😂,1,2025-05-06T00:01:29Z,1880.0
2210,@faithchepkirui7533,Huyu Culture ako sawa kweli😂😂😂,0,2025-05-06T00:01:19Z,1881.0
2211,@karimirose9424,Wee this Earth😢,0,2025-05-06T00:00:45Z,1882.0
2212,@dorakasmama5096,Nimeona obina akifunga mapua😅😅😅now nimeelewa sasa,2,2025-05-06T00:00:27Z,1883.0
2213,@brazutv,Ooooh  na  kumbao,0,2025-05-05T23:58:07Z,1884.0
2214,@nikitaalbert,But this was supposed to be sabrina and the guy so why let her come in angeenda turn yake sio kuingililia interview za wenyewe obinna the couple really deserves an apology,0,2025-05-05T23:55:50Z,1885.0
2215,@ChrisOmwenga,Hannah ako na results za aga khan na hana results za kisii meaning anadanganya 😅😅😅ni kama alikua na hiyo kaswende,0,2025-05-05T23:55:08Z,1886.0
2216,@BrendahOtieno-p3k,Woooi mungu aki,0,2025-05-05T23:54:16Z,1887.0
2217,@yegonbrandon,Waaah sasa hiyo mdomo imetumika kwa kulamba ni the same ilikuwa inatumiwa kwa bj enyewe wanaume tunakapitia😢😢,0,2025-05-05T23:53:21Z,1888.0
2218,@paulinemawia2852,Nimetoka TikTok karibu nivunjike miguu kuja kuona kaswende family,0,2025-05-05T23:52:24Z,1889.0
2219,@FunnyDalmatianPuppies-qd9mj,Obinna unaloose focus😏sasa hizi ni mawhat unatuletea kwa show😔this is very shameful,0,2025-05-05T23:51:22Z,1890.0
2220,@lydiahkerubo2546,Nancy ni homie kwao ushago ni nyangusu😢😂😂😂,1,2025-05-05T23:50:42Z,1891.0
2221,@mariaepisodes8982,Ladies plz this is vry shameful 😂,0,2025-05-05T23:49:35Z,1892.0
2222,@ZacariaSaid-b2d,Obinna this is unprofessional. You don’t do that to someone you invited. Hannah was not supposed to be there and she should respect the interview,0,2025-05-05T23:49:13Z,1893.0
2223,@felixkiptoo421,I am so surprised with this generation full of self gratification.  People pursuing sensualities of life. God will judge us harshly if we don't turn away for this ways and repent!,0,2025-05-05T23:47:57Z,1894.0
2224,@firespace_1,"I have been a big fan of this show,,, but... Its no more intresting. This wasn't good at all.",0,2025-05-05T23:47:57Z,1895.0
2225,@DeborahNjeri-m2l,Kwani si mkienda hosi na ukuwe na infections kama kuna mtu mnaishi na yeye mnapewa nyote huyo mbilikimo akubali😂😂,1,2025-05-05T23:47:07Z,1896.0
2226,@nancywamuyu6978,Hannah hua unajiabisha kila siku juu ya mwanaume ady unaeda interview yenye hayuko invited to loow of you,0,2025-05-05T23:47:07Z,1897.0
2227,@HumphreyOdhiambo-t6u,Show us the results for oasis Achana na za Aga Kan,0,2025-05-05T23:46:48Z,1898.0
2228,@KennyRono-z1v,Hapo kwa Hanah benta imekua za ufala sasa,0,2025-05-05T23:46:29Z,1899.0
2229,@periswanja5639,This is soo wrong Obina,0,2025-05-05T23:45:23Z,1900.0
2230,@PKchumbaa,"Takataka Hannah..
Mimi naona Sabrina ako sawa..mbilikimo shosho akwende huko na samir",3,2025-05-05T23:44:02Z,1901.0
2231,@Chrispo-l9u,"Sammir anatetea hanna ,huyu Dem ni taka taka,anaongea mbaya hadi kuhusu baba T",0,2025-05-05T23:42:50Z,1902.0
2232,@millicentakothakoth973,Anadanganya ety ajawai mwongelelea alisema rent Sabrina ni 13000k iyo Ni madharau,0,2025-05-05T23:42:36Z,1903.0
2233,@macizolo,Sasa captain ndio nani ??,0,2025-05-05T23:42:35Z,1904.0
2234,@WilhardSaisi,The same way you did to ofweneke  you walked out BT even if ofweneke did wrong you should have finish the show,0,2025-05-05T23:42:27Z,1905.0
2235,@cliffordKiptoo-x4q,So hanna ni pedi wa kaswende,2,2025-05-05T23:41:50Z,1906.0
2236,@nelvinajiambo1335,Tunataka results za oasis kisii  period,22,2025-05-05T23:40:49Z,1907.0
2237,@PresenterSamtv,Hannah benta amewai nichoma Ako na kaswende,1,2025-05-05T23:40:30Z,1908.0
2238,@agnesmutindi-v4d,Hannah ni fyetu akili ilienda mteja kitambo..,0,2025-05-05T23:40:08Z,1909.0
2239,@Muthoni_Lilian,😂😂😂naona mmejam tu sana...be entertained hii ni kipindi tu,3,2025-05-05T23:39:49Z,1910.0
2240,@tracybosby4330,"Aibuuu, nothing is right here foul language zero manners",0,2025-05-05T23:38:10Z,1911.0
2241,@Thejubris,Captain alikula hio kitu bila CD Hannah akinyesha hapo ndo alitoa infection... Some men do react on that!!,0,2025-05-05T23:37:56Z,1912.0
2242,@Rigan-kk8mk,"Hannah na umalaya jameni,,, Sabrina is right anyway obinna umekosea kuruhusu Hannah kwa interview ya wenyewe",1,2025-05-05T23:37:16Z,1913.0
2243,@Aviator428,Culture you will go down  achana na relationship.,0,2025-05-05T23:37:01Z,1914.0
2244,@kudate_1,"Huyu Hannah hata haoni aibu,, much love to culture and his girlfriend Sabrina❤️",10,2025-05-05T23:36:43Z,1915.0
2245,@LilisLiliannah,Sipendi huyu mbilikimo...nkt,0,2025-05-05T23:36:39Z,1916.0
2246,@sylviahsly1050,Description ati culture and hanna😂😂😂 instead of Sabrina,0,2025-05-05T23:35:47Z,1917.0
2247,@Gore_M1,Sammir alisema Hannah ndio alikua na kaswende,0,2025-05-05T23:35:34Z,1918.0
2248,@gladkamau3551,Wacha nitafute pesa heri niolewe nikiwa na 50year but i have my on money  than kutumiwa na wanaume hivi  .wasichana  i think hii ni movie  juu wee mwanaume mmoja wasichana wawili  at the same time eeèe,0,2025-05-05T23:35:13Z,1919.0
2249,@cynthianasimiyu1147,Mko sure huyo boy wa Sabrina ako normal?,0,2025-05-05T23:35:04Z,1920.0
2250,@judychero5567,"1st Obbina is so unprofessional coz wtf is he doing to those couple? I am happy that they walked away, 2nd we can all tell that Hanna benta is the problem, the other chic is calm..smh",1,2025-05-05T23:33:54Z,1921.0
2251,@JolieNome,Aki  Obinna ume burnt leo😢.naona lizz ame ku jujuu ume lose focus.,0,2025-05-05T23:33:37Z,1922.0
2252,@FrankOloo-c6t,Obize hapa umepata bibi free,0,2025-05-05T23:32:49Z,1923.0
2253,@vivianjanet7561,This guy though…Kwani haelewi mambo anaulizwa??,0,2025-05-05T23:32:38Z,1924.0
2254,@LinetNyakundi-e7z,"Pull down  the 
Live hii nayo Imechoma",0,2025-05-05T23:32:30Z,1925.0
2255,@kendyselia3,Village love😂,1,2025-05-05T23:32:16Z,1926.0
2256,@thomasMunyao-u5x,Sasa mbna obinna mbna ann akua kwa interview,0,2025-05-05T23:32:06Z,1927.0
2257,@MaureenOtoki,Hiyo infection mlikua nayo nyinyi wote muache kelele 😂😂😂,7,2025-05-05T23:32:04Z,1928.0
2258,@njeripauline5163,"All I can say is that I enjoyed the conversation and laughed before drama unfolded,culture is effortlessly funny ❤",127,2025-05-05T23:31:19Z,1929.0
2259,@HappyHome-s9h,If kama haukuwa na kaswende mbona ulirudia test Agha khan ?another thing hakuna vile unaweza testiwa na upewe dawa na daktari akose kujua uko na infection gani,0,2025-05-05T23:30:58Z,1930.0
2260,@faithchepkirui7533,Ni saa nane nacheka  hivi😂😂😂😂😂😂ju ya Culture.... Mnitetee wanataka kunitoa kwa plot,22,2025-05-05T23:30:57Z,1931.0
2261,@SalmaRandu,Very true Hannah 👍 👌,1,2025-05-05T23:30:15Z,1932.0
2262,@sylviahsly1050,Is it me ama Sabrina somehow anacheka vile huyu boy wake anaongea😂😂,0,2025-05-05T23:30:03Z,1933.0
2263,@Aviator428,"Culture Run ,Run...",0,2025-05-05T23:29:29Z,1934.0
2264,@lilysam6259,Obina umekosa 😢😢😢😢,3,2025-05-05T23:29:24Z,1935.0
2265,@football_galleryyy,"Sijapenda apo mwisho,..Hanna  ameharibu..",3,2025-05-05T23:29:23Z,1936.0
2266,@football_galleryyy,"Sijapenda apo mwisho,..Hanna  ameharibu..",22,2025-05-05T23:29:15Z,1937.0
2267,@LewisTornado,Obinna is like mlipewa dawa gani😂... Tukijua dawa tutapata ugonjwa ni gani😂😂,0,2025-05-05T23:26:58Z,1938.0
2268,@SolbrithKemuma,Mambo ni bulayi hapa,0,2025-05-05T23:26:08Z,1939.0
2269,@brendamakokha3993,Obinna umebant  na hii😮,0,2025-05-05T23:24:46Z,1940.0
2270,@ProJays,Unafaa Obinna pia ukae na Respect kw wengeni c wew ulitoka kwa interview kwa sababu y kutajiwa jina y mtu tu mbona n wew ulete mahadui kwa interview mmoja you r grown-up bro,31,2025-05-05T23:24:26Z,1941.0
2271,@Kwamby-m9j,"Sabrina, ruuuunnnnnnnn minyoka baba. If you are looking for anyone serious he ain’t the one. At least not for now",0,2025-05-05T23:23:52Z,1942.0
2272,@SalmaRandu,Very true Hannah mbna akubali Samir na kulikua Nancy na ww,1,2025-05-05T23:23:48Z,1943.0
2273,@BrendaMaua-l5x,Interview ilikuwa ya Sabrina na culture uyu mbilikimo alikuja kufanya???,0,2025-05-05T23:20:31Z,1944.0
2274,@BennettNeila,Sabrina anakaa shumileta kanabooo Nkt ukweli isemwe munaskilia Hanna wivu but mtu mkora apa ni sabrina,11,2025-05-05T23:20:25Z,1945.0
2275,@MakenaDealsKenya,"According to me huyo chali ya sabrina , pthoo, choose better.
Alafu uyo mwingine hanna, no comments shes just ufff, fui",0,2025-05-05T23:19:56Z,1946.0
2276,@ValenceAgala-p4u,But unge allow 😢hannah kwa io live umeanza kuboo sasa,1,2025-05-05T23:19:43Z,1947.0
2277,@synthiaanyangookiro2717,"This girl Hannah is so disrespectful and full of ego,nkt",0,2025-05-05T23:18:50Z,1948.0
2278,@EmilyKemunto-q3r,"Obinna for real umekosea culture na Sabrina,haungekubali Hannah akuje kwa interview yao for real,nmefeel vibaya sana , culture kama mwanaume amefeel so bad juu wewe mwanaume umemuaibisha what if wangeanza vita😢",0,2025-05-05T23:18:34Z,1949.0
2279,@Gore_M1,Obinna ungehost Hannah kando,0,2025-05-05T23:17:02Z,1950.0
2280,@rashford1035,The enemy is poverty 😂😂😂😂,0,2025-05-05T23:16:53Z,1951.0
2281,@ecoforextradingacademy,"Not taking sides, but I think things could’ve been handled better. Bringing someone uninvited shifted the whole vibe. Respect and clear communication go a long way. 🫡",2,2025-05-05T23:16:46Z,1952.0
2282,@seeseetv3403,Sabrina your wise,0,2025-05-05T23:16:44Z,1953.0
2283,@bessynaom,😂😂mbilikimo na mtu wake chameeniii,1,2025-05-05T23:16:43Z,1954.0
2284,@WEILANDOkello,some fake LV,0,2025-05-05T23:16:32Z,1955.0
2285,@SheilaMorara,Waaah hii show ikikua inahitaji translator wa kikisii maswali hazi eleweki  walai 😅😅😅,0,2025-05-05T23:15:57Z,1956.0
2286,@natalietalia9939,Evidence Na show ilikua yake alijua aje utajileta😅😅😅,0,2025-05-05T23:14:09Z,1957.0
2287,@kentsfinestlady47,Ata mimi nachugua my man back why call her,0,2025-05-05T23:13:44Z,1958.0
2288,@MercyRianga,Nkt,0,2025-05-05T23:12:49Z,1959.0
2289,@Eunicekyalo-j1w,Obvious Sabrina hawezi bishana na birikimo mkora,0,2025-05-05T23:12:30Z,1960.0
2290,@SalmaRandu,Eee adi mm nishawai pigwa kuni kma nanyesha adi nkapata boll😂😂😂😂😂😂😂😂,0,2025-05-05T23:12:02Z,1961.0
2291,@Sherrif-o3y,Obinna there are many people you can bring to your show with the followers you have its wise having educative content wachana na ashawo za tiktok,123,2025-05-05T23:11:29Z,1962.0
2292,@sharifkhasoha4024,Obina umeniboo,2,2025-05-05T23:11:28Z,1963.0
2293,@Dayo495,Sabrina na musupu sna,0,2025-05-05T23:11:05Z,1964.0
2294,@simonbasil-te1uu,So the lunatics in comedy still exist in real life😂😂,5,2025-05-05T23:11:03Z,1965.0
2295,@fatmanasimiyu3284,Thank you for entertaining us,0,2025-05-05T23:09:56Z,1966.0
2296,@Moonpie1-l7x,Nafikirianga ni chai kumbe ni ukweli,0,2025-05-05T23:09:39Z,1967.0
2297,@mildredkerubo4569,Results za oasis jamani ? Alafu Hannah that was soo disrespectful joining other peoples interview,0,2025-05-05T23:09:33Z,1968.0
2298,@CarolineGakii-k1t,"Obizzeh hapo nayo umebant mzee😢,mbilikimo mkora sasaaaa😢😅",1,2025-05-05T23:09:00Z,1969.0
2299,@Moonpie1-l7x,Infection ni normal,0,2025-05-05T23:08:48Z,1970.0
2300,@BerinChisoka-qi3tf,"Obinna pia ww kama unataka hanna si useme umbwa,,mbona anaingililia show ya wengine na umenyamaza fala ww",1,2025-05-05T23:08:25Z,1971.0
2301,@Mercie-wu8no,Hii Yote Ni clout,0,2025-05-05T23:08:24Z,1972.0
2302,@SmitaPravesh,"Sabrina is so calm mm na ii hasira ningekupiga ningekutandika io glass iko tu apo kando na Sabrina hehe io ningekurushia ya kichwa uende ushonwe obinna ungelipia damage zikai damage juu you're the one on the wrong ungeita uyo malaya chokora apo
Yaani nimeashwa nimesimama natetemeka apa naskia kuingia ndani ya io tv nikue tu sabrina for just 5mnts hehe io mimba ya uyo chokora malaya cheap ingetoka leo obinna io show ingeisha leo you all would have learnt a hard way na akuna penye mgenipeleka coz you obinna you're the course uite mtu interview uite adui apo ati juu amekaa kando yako ati kanarusha mdomo munez angejua venye io glass ingepita hehe wueh",0,2025-05-05T23:08:17Z,1973.0
2303,@shamin_ke9832,Obina you are loosing focus...... We need educative interviews not this kind of relationship whatevers nkt!!,0,2025-05-05T23:08:09Z,1974.0
2304,@synthiaanyangookiro2717,"HAPA ULIBANT😢,UNALETA HUTU TUMANG'AA TWA TIKTOK TWENYE HATUNA HESHIMA",0,2025-05-05T23:07:38Z,1975.0
2305,@lylyanefletcher6958,Hannah unadhani Kisii utatoboa😂😂😂iyo mdomo utawekwa pahali unafaa,3,2025-05-05T23:07:14Z,1976.0
2306,@NyamisaVane-uj9qm,Hanna ni mafi sana,1,2025-05-05T23:06:35Z,1977.0
2307,@bilhanyanchama9208,@obinna 😊😊 please next time you hold an interview respect jameni that's not nice hii interview was meant for sabriana na mtu wake and not for Hannah 😊,1,2025-05-05T23:06:27Z,1978.0
2308,@AnnetteMuriithi,Hana ameloose weight akiii😢😢,1,2025-05-05T23:06:09Z,1979.0
