,category,language,likes,published_at,sentiment,subcategory,text,clean_text
547,Others,Swahili,0,2022-10-25T14:10:50Z,Neutral,General Others,"Majamaa ni wale wale tuu 😂😂💔,,","majamaa ni wale wale tuu face_with_tears_of_joy face_with_tears_of_joy broken_heart ,,"
548,Irony,Kenyan_slang,0,2022-10-25T09:33:21Z,Negative,Mock Laughter,hio ndio luku Airforce za 1500🤣🤣,hio ndio luku airforce za 1500 rolling_on_the_floor_laughing rolling_on_the_floor_laughing
549,Offensive,Swahili,0,2022-10-25T08:58:36Z,Negative,Vulgar language (Matusi),aii haiezi bana ubeste Gani wa kifala huu wakukula beste yako mwenye ata beste yako hajachana na huyo demu wake,aii haiezi bana ubeste gani wa kifala huu wakukula beste yako mwenye ata beste yako hajachana na huyo demu wake
550,Cyberbullying,Kenyan_slang,0,2022-10-25T08:33:47Z,Negative,Humiliation,I feel it too broo... Yani gang wako mzima anadinyaa mama wa mine ...Nkt..It window will end over.. for sure.....,i feel it too broo... yani gang wako mzima anadinyaa mama wa mine ...nkt..it window will end over.. for sure..
551,Irony,Swahili,0,2022-10-24T18:32:59Z,Negative,Mock Laughter,Kuku mweusi hakimbizwi gizani🤣🤣🤣🤣🤣,kuku mweusi hakimbizwi gizani rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
552,Others,English,0,2022-10-24T17:51:29Z,Neutral,General Others,I know the guys they're my neighbors 😂😂,i know the guys theyre my neighbors face_with_tears_of_joy face_with_tears_of_joy
553,Constructive,English,19,2022-10-24T17:24:03Z,Positive,Supportive Speech,Iano take heart bro all shall be well ❤️‍🩹 ...leave them alone God will give you another beautiful soul,<person> take heart bro all shall be well mending_heart ...leave them alone god will give you another beautiful soul
554,Others,Swahili,0,2022-10-24T15:48:49Z,Neutral,General Others,Pluto ati ss umkule😂😂😂byther niuchungu,<person> ati ss umkule face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy byther niuchungu
555,Offensive,Kenyan_slang,0,2022-10-23T12:39:04Z,Negative,Vulgar language (Matusi),I feel for Ianoh Aki mapenzi nowadays 🥺🥺🥺WTF uyu quivor ni fala angesho Arif yake walai...,i feel for <person> aki mapenzi nowadays pleading_face pleading_face pleading_face wtf uyu quivor ni fala angesho arif yake walai...
556,Constructive,Kenyan_slang,2,2022-10-23T11:46:51Z,Neutral,Supportive Speech,Woiye iano na venye his so composed...all will be well,woiye <person> na venye his so composed...all will be well
557,Cyberbullying,English,0,2022-10-23T09:18:19Z,Negative,Direct Insult,Huyo Terry ni mtu fcking sana,huyo <person> ni mtu fcking sana
558,Harmful,Swahili,0,2022-10-23T09:14:39Z,Negative,Misleading/Contextual Deception,Huyu anafaa kugonngwa,huyu anafaa kugonngwa
559,Others,Swahili,0,2022-10-23T08:45:04Z,Negative,General Others,😩💔 wooiye,weary_face broken_heart wooiye
560,Others,Swahili,0,2022-10-23T06:18:21Z,Neutral,General Others,Vijana someni achaneni na mapenzi😂😂😂,vijana someni achaneni na mapenzi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
561,Others,English,15,2022-10-23T00:17:43Z,Neutral,General Others,So heartbreaking 😩😭I feel you iano you'll find ur person♥️♥️♥️,so heartbreaking weary_face loudly_crying_face i feel you <person> youll find ur person heart_suit heart_suit heart_suit
562,Others,Swahili,0,2022-10-22T13:03:56Z,Neutral,General Others,Sooo painful 😥😥😥 chenye kilifanyika kivyangu,sooo painful sad_but_relieved_face sad_but_relieved_face sad_but_relieved_face chenye kilifanyika kivyangu
563,Others,Swahili,0,2022-10-22T11:07:49Z,Neutral,General Others,Hehehe ogopa bro🤣🤣🤣,hehehe ogopa bro rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
564,Others,Kenyan_slang,0,2022-10-22T09:18:47Z,Neutral,General Others,wueh iza bro,wueh iza bro
565,Others,Swahili,0,2022-10-22T01:12:22Z,Neutral,General Others,Hakuna number umeficha digit inaisha na 50,hakuna number umeficha digit inaisha na 50
566,Cyberbullying,Kenyan_slang,0,2022-10-21T22:42:14Z,Negative,Direct Insult,Huyu jamaa hata sura inakataa thseme to Terry amempenda koz ya doh 😨 heri Iano,huyu jamaa hata sura inakataa thseme to <person> amempenda koz ya doh fearful_face heri <person>
567,Others,Kenyan_slang,0,2022-10-21T21:28:19Z,Neutral,General Others,wueeeh,wueeeh
568,Offensive,Kenyan_slang,11,2022-10-21T19:50:57Z,Negative,Vulgar language (Matusi),So painful💔💔💔madem tupunguze ushenzi na ufala ka hudai msee no need ya kumuwaste 😭😭😭😭take it easy bro you will get you right partner🙏,so painful broken_heart broken_heart broken_heart madem tupunguze ushenzi na ufala ka hudai msee no need ya kumuwaste loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face take it easy bro you will get you right partner folded_hands
569,Constructive,Emoji,0,2022-10-21T14:04:41Z,Positive,Performance-based,🔥🔥🔥,fire fire fire
570,Constructive,Kenyan_slang,0,2022-10-21T13:24:38Z,Negative,Decision-criticism,Hata anashindwa kuongea nktt😏😏quevoo😏,hata anashindwa kuongea nktt smirking_face smirking_face quevoo smirking_face
571,Others,Swahili,1,2022-10-21T13:24:22Z,Neutral,General Others,woie..iano akuje tuu anichukue .he seems to be good..,woie..<person> akuje tuu anichukue .he seems to be good..
572,Others,Swahili,0,2022-10-21T13:20:46Z,Negative,Decision-criticism,Huyu quevo tu anyamaze😏nkttt,huyu <person> tu anyamaze smirking_face nkttt
573,Others,Swahili,1,2022-10-21T12:56:44Z,Neutral,General Others,Ka umerudia hii show mara ingine npe like😂,ka umerudia hii show mara ingine npe like face_with_tears_of_joy
574,Others,Emoji,0,2022-10-21T12:04:37Z,Neutral,General Others,🙊🙊🙊🙊🙊🙊🙊🙊,speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey speak-no-evil_monkey
575,Constructive,English,0,2022-10-21T10:25:15Z,Neutral,Performance-based,Very interesting!,very interesting!
576,Cyberbullying,Swahili,0,2022-10-21T09:01:46Z,Negative,Trolling,Walai na mwenye anakuliana hajaivaa😹😹,walai na mwenye anakuliana hajaivaa cat_with_tears_of_joy cat_with_tears_of_joy
577,Constructive,Swahili,0,2022-10-20T23:19:08Z,Positive,Supportive Speech,Iano kimeumana..lkn usijali bro,<person> kimeumana..lkn usijali bro
578,Others,English,0,2022-10-20T22:32:53Z,Neutral,General Others,Hardknocks life,hardknocks life
579,Others,English,0,2022-10-20T20:56:32Z,Negative,General Others,"It hurts,,,best friend","it hurts,,,best friend"
580,Others,English,1,2022-10-20T17:49:50Z,Neutral,General Others,Woiye i feel for this guy aky its so hurting aky 💔💔si mnipee tu link ya this iano guy aky its so hurting i feel the pain aky 💯💯,woiye i feel for this guy aky its so hurting aky broken_heart broken_heart si mnipee tu link ya this <person> guy aky its so hurting i feel the pain aky hundred_points hundred_points
581,Others,Swahili,0,2022-10-20T15:30:36Z,Neutral,General Others,Iano is even cute than this thing..,<person> is even cute than this thing..
582,Harmful,Swahili,0,2022-10-19T22:27:59Z,Negative,Fabricated Content (Fake News),Haikosi hadi huyo boy mwingine Amekuliwa mtu ...,haikosi hadi huyo boy mwingine amekuliwa mtu ...
583,Harmful,Swahili,0,2022-10-19T20:42:52Z,Negative,Misleading/Contextual Deception,Huyo dem atamcheza tu pia yeye huyo n mhanyaji tu atamuacha pia,huyo dem atamcheza tu pia yeye huyo n mhanyaji tu atamuacha pia
584,Constructive,English,0,2022-10-19T20:39:59Z,Positive,Performance-based,Woow  my show  ever,woow my show ever
585,Others,English,0,2022-10-19T08:46:40Z,Neutral,General Others,"So sad☹️,,, Iano💕💕","so sad frowning_face ,,, <person> two_hearts two_hearts"
586,Others,Swahili,0,2022-10-19T08:05:58Z,Neutral,General Others,Manze ulikosea usiwai kulia beshte dem. Hiyo ni mbaya,manze ulikosea usiwai kulia beshte dem. hiyo ni mbaya
587,Constructive,English,0,2022-10-19T07:08:40Z,Negative,Genuine feedback,lesson of the day love ni scum,lesson of the day love ni scum
588,Constructive,English,0,2022-10-19T06:54:46Z,Negative,Decision-criticism,Y'all like talking sh**t yet you don't know how the situation even is if the friend ate his friend girl that means the boys are okay the chick is the problem🤟🏽,yall like talking sht yet you dont know how the situation even is if the friend ate his friend girl that means the boys are okay the chick is the problem love-you_gesture_medium_skin_tone
589,Constructive,English,90,2022-10-19T06:15:21Z,Positive,Supportive Speech,This Ian guy is soooooo mature👍🏾🙏🏾,this ian guy is soo mature thumbs_up_medium-dark_skin_tone folded_hands_medium-dark_skin_tone
590,Others,Kenyan_slang,0,2022-10-18T23:55:20Z,Neutral,General Others,Lakini hakuna kitu painful kama kutokwa na mabro juu ya hoes,lakini hakuna kitu painful kama kutokwa na mabro juu ya hoes
591,Others,Swahili,0,2022-10-18T20:59:07Z,Neutral,General Others,Arafat kuchapwa hugo jamaa juu yeye nikufungua zip tuu na hajui kujicontrol.,arafat kuchapwa hugo jamaa juu yeye nikufungua zip tuu na hajui kujicontrol.
592,Others,Swahili,0,2022-10-18T18:09:44Z,Neutral,General Others,Na venye sio mcute 😏 iano is more handsome than him,na venye sio mcute smirking_face <person> is more handsome than him
593,Others,Swahili,0,2022-10-18T16:39:30Z,Neutral,General Others,Na uyo msee achange jina tafuta jina manze,na uyo msee achange jina tafuta jina manze
594,Offensive,Swahili,0,2022-10-18T13:57:19Z,Negative,Vulgar language (Matusi),Huyo boy asikuwe cry baby pia awache ufala😂😂,huyo boy asikuwe cry baby pia awache ufala face_with_tears_of_joy face_with_tears_of_joy
595,Others,English,0,2022-10-18T13:56:01Z,Neutral,General Others,The streets 😂😂😂😂😂,the streets face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
596,Cyberbullying,Kenyan_slang,1,2022-10-18T13:49:32Z,Negative,Threats,Si pluto ungelamba huyu bestie makofi. Although literally bffs ends up fucking.,si <person> ungelamba huyu bestie makofi. although literally bffs ends up fucking.
597,Others,Swahili,240,2022-10-18T13:48:45Z,Neutral,General Others,The fact that he is cuter than the other dude😂💔💔,the fact that he is cuter than the other dude face_with_tears_of_joy broken_heart broken_heart
598,Constructive,Kenyan_slang,1,2022-10-18T13:13:39Z,Positive,Supportive Speech,Inauma🤦 inauma lakini atazoea 🥺 take heart bro,inauma person_facepalming inauma lakini atazoea pleading_face take heart bro
599,Constructive,English,18,2022-10-18T12:51:43Z,Positive,Supportive Speech,I've felt for this guy manze.i hope he heals aki🥺,ive felt for this guy manze.i hope he heals aki pleading_face
600,Cyberbullying,Kenyan_slang,2,2022-10-18T12:21:49Z,Negative,Threats,Infact quavo anafaa apewe barre!!!! But morio wako seriously,infact <person> anafaa apewe barre!! but morio wako seriously
601,Others,Kenyan_slang,0,2022-10-18T10:48:56Z,Neutral,General Others,wueh,wueh
602,Others,Swahili,0,2022-10-18T10:32:25Z,Neutral,General Others,Nakuruuuuuu😂😂😂,nakuruu face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
603,Constructive,English,3,2022-10-18T09:21:24Z,Positive,Genuine Praise,Sorry Ian God will send you your match you're amazing 🤩,sorry ian god will send you your match youre amazing star-struck
604,Constructive,Kenyan_slang,0,2022-10-18T04:07:05Z,Negative,Decision-criticism,Ni poa heartbreak inakuja mapema. But quavo ni mtiaji bros before whores.,ni poa heartbreak inakuja mapema. but <person> ni mtiaji bros before whores.
605,Others,Swahili,0,2022-10-17T22:33:10Z,Neutral,General Others,😭😭😭😭😭woiii Pluto...,loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face woiii <person>...
606,Constructive,Swahili,1,2022-10-17T20:08:02Z,Negative,Decision-criticism,😂waaah skia vile huyo manzi ameongea vibaya🫠,face_with_tears_of_joy waaah skia vile huyo manzi ameongea vibaya melting_face
607,Constructive,Kenyan_slang,0,2022-10-17T19:12:14Z,Positive,Supportive Speech,Thee pluto why should someone you trust do such a thing to you...what would you do personally.. locked na mbogi yangu Qatar unatujengeanga siku sana# thee pluto show#hunch show#general izoh,<person> why should someone you trust do such a thing to you...what would you do personally.. locked na mbogi yangu qatar unatujengeanga siku sana <person> showhunch showgeneral izoh
608,Others,Swahili,1,2022-10-17T16:14:09Z,Neutral,General Others,ᴹᵃᶻᵉᵉ ˢⁱ ᵖᵒᵃ ᵘʸᵒ ᵇᵒʸᶻ ⁿⁱ ⁱⁿⁿᵒᶜᵉⁿᵗ ᵐᵃᶻᵉᵉ ᵏᵘᵏᵘˡⁱʷᵃ ᵐᵃᵐᵃᵃᶻ,
609,Cyberbullying,Swahili,1,2022-10-17T15:51:44Z,Negative,Humiliation,Na vyenye uyo boi anakaa vibaya😩😩,na vyenye uyo boi anakaa vibaya weary_face weary_face
610,Constructive,Kenyan_slang,1,2022-10-17T14:00:52Z,Neutral,Supportive Speech,"i know exactly what he feels,,,,,,,nlifanyiwa hivo hivo","i know exactly what he feels,,nlifanyiwa hivo hivo"
611,Irony,Kenyan_slang,0,2022-10-17T10:37:56Z,Negative,Hyperbolic understatement,"Young man you deserve better than the two foolish friends and you should not entertain them again. They deserve each other, for they’re like animals.","young man you deserve better than the two foolish friends and you should not entertain them again. they deserve each other, for theyre like animals."
612,Offensive,English,0,2022-10-17T10:27:47Z,Negative,Vulgar language (Matusi),The Terry woman is mad and sick. Has no values and morals. She even has audacity to want to continue abusing both men. Sad,the <person> woman is mad and sick. has no values and morals. she even has audacity to want to continue abusing both men. sad
613,Others,Kenyan_slang,0,2022-10-17T10:27:32Z,Negative,General Others,Dem wa beste is a no go zone bana quavo umechoma,dem wa beste is a no go zone bana <person> umechoma
614,Irony,English,1,2022-10-17T08:09:41Z,Negative,Hyperbolic understatement,Never fight for nobody.......,never fight for nobody..
615,Others,English,1,2022-10-17T07:46:16Z,Negative,General Others,Weuh this reminds me of something which happened to my heart some days back ....best friends are always poisonous to relationship...i will to remember one idiot forever😯,weuh this reminds me of something which happened to my heart some days back ..best friends are always poisonous to relationship...i will to remember one idiot forever hushed_face
616,Others,English,0,2022-10-17T01:30:50Z,Neutral,General Others,This is sad😢😢😢,this is sad crying_face crying_face crying_face
617,Others,Kenyan_slang,0,2022-10-17T00:51:20Z,Neutral,General Others,🥺💔wooiye,pleading_face broken_heart wooiye
618,Irony,Swahili,0,2022-10-16T23:12:33Z,Negative,Mock compliment,Ile radi itapiga hyo dym...iko warm up inakam,ile radi itapiga hyo dym...iko warm up inakam
619,Constructive,English,0,2022-10-16T22:05:11Z,Neutral,Genuine feedback,This is HARD for ALL parties. tbh.,this is hard for all parties. tbh.
620,Others,Swahili,0,2022-10-16T22:02:10Z,Neutral,General Others,😂😂😂😂😂😂😂😂😂naishaaaaa,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy naishaa
621,Irony,Kenyan_slang,0,2022-10-16T20:09:01Z,Negative,Mock compliment,"Bro code wapiii
Watu ni manyoks huku nje",bro code wapiii watu ni manyoks huku nje
622,Others,Swahili,0,2022-10-16T20:02:15Z,Neutral,General Others,Aki it's so painful,aki its so painful
623,Constructive,Kenyan_slang,1,2022-10-16T19:26:24Z,Neutral,Supportive Speech,Madem wa theka noma sana🤣🤣🤣...iano umecheza ka man apo...likes zikam leo,madem wa theka noma sana rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing ...<person> umecheza ka man apo...likes zikam leo
624,Others,Kenyan_slang,0,2022-10-16T18:47:17Z,Neutral,General Others,Naikuru naikuru,naikuru naikuru
625,Others,English,3,2022-10-16T17:18:00Z,Neutral,General Others,"And that, ladies and gentlemen is how you lose friends.✌","and that, ladies and gentlemen is how you lose friends. victory_hand"
626,Others,Kenyan_slang,1,2022-10-16T16:45:44Z,Neutral,General Others,Kwani huyo manze ni blind na vile ianoh ameiva kuliko cjui huyu quiver whatever 🥺💔 aki mapezi wewe tuuu,kwani huyo manze ni blind na vile <person> ameiva kuliko cjui huyu quiver whatever pleading_face broken_heart aki mapezi wewe tuuu
627,Constructive,Kenyan_slang,28,2022-10-16T15:47:02Z,Positive,Genuine Praise,He is very handsome young man na dem ni wengi so he will get the right one,he is very handsome young man na dem ni wengi so he will get the right one
628,Others,Kenyan_slang,0,2022-10-16T15:25:11Z,Neutral,General Others,Woiye aki  I feel the pain,woiye aki i feel the pain
629,Cyberbullying,Kenyan_slang,0,2022-10-16T15:04:30Z,Negative,Sexual harassment,"Iano asijaribu kurudiana na huyo dem,  she just a prostitute,  ...Hata huyo jamaaa Apelekeee huko...Aki nmemhurumia Iano...!!","<person> asijaribu kurudiana na huyo dem, she just a prostitute, ...hata huyo jamaaa apelekeee huko...aki nmemhurumia <person>...!!"
630,Others,Swahili,0,2022-10-16T12:17:05Z,Neutral,General Others,Quavo are u sure ni ukweli coz nakujua,<person> are u sure ni ukweli coz nakujua
631,Constructive,English,5,2022-10-16T10:10:48Z,Neutral,Genuine Praise,Iano he's so mature 👏,<person> hes so mature clapping_hands
632,Constructive,English,0,2022-10-16T07:09:03Z,Positive,Supportive Speech,"Thee Pluto find out what happened please,,,,","<person> find out what happened please,,"
633,Others,English,0,2022-10-16T06:45:10Z,Neutral,General Others,"Poor guy,,,sometimes shit happens","poor guy,,,sometimes shit happens"
634,Others,Swahili,0,2022-10-15T21:35:51Z,Neutral,General Others,inauma sana😢😢😢😢,inauma sana crying_face crying_face crying_face crying_face
635,Constructive,English,1,2022-10-15T20:28:43Z,Positive,Genuine Praise,"Iano ur handsome,,u deserve better","<person> ur handsome,,u deserve better"
636,Others,Kenyan_slang,0,2022-10-15T19:18:59Z,Neutral,General Others,Hamuelewi huyo chali quavoh.....mih namuelewa yoooh alishindwa kukujulia mali safi😂😂😂😂😂😂temptations murife Ruun,hamuelewi huyo chali quavoh..mih namuelewa yoooh alishindwa kukujulia mali safi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy temptations murife ruun
637,Others,Swahili,0,2022-10-15T18:35:41Z,Neutral,General Others,Hii  ni mambo na age,hii ni mambo na age
638,Constructive,Kenyan_slang,1,2022-10-15T15:29:30Z,Neutral,Genuine feedback,Waaa marafiki its better to  be open trust each other but sipoa,waaa marafiki its better to be open trust each other but sipoa
639,Constructive,English,1,2022-10-15T15:12:58Z,Positive,Supportive Speech,Good job Pluto for telling that Nigga what he did was wrong,good job <person> for telling that nigga what he did was wrong
640,Constructive,English,5,2022-10-15T13:27:39Z,Neutral,Supportive Speech,Take it easy man!,take it easy man!
641,Cyberbullying,Swahili,2,2022-10-15T13:20:13Z,Negative,Threats,Anamuonyesha meno ingekua mimi ni ngumi ya mdomo,anamuonyesha meno ingekua mimi ni ngumi ya mdomo
642,Others,Swahili,0,2022-10-15T10:54:56Z,Neutral,General Others,Siku yako itafika tuu,siku yako itafika tuu
643,Others,Swahili,1,2022-10-15T10:18:28Z,Neutral,General Others,Pluto nipee number ya Iano please,<person> nipee number ya <person> please
644,Others,Swahili,0,2022-10-15T10:03:08Z,Neutral,General Others,Woiye🥹🥹,woiye face_holding_back_tears face_holding_back_tears
645,Constructive,Kenyan_slang,49,2022-10-15T09:33:21Z,Positive,Supportive Speech,Pole Ian. You deserve better. Build yourself na utapata mwenye anakudeserve.,pole ian. you deserve better. build yourself na utapata mwenye anakudeserve.
646,Others,English,0,2022-10-15T08:41:49Z,Neutral,General Others,No easy Real G,no easy real g
647,Harmful,Kenyan_slang,0,2022-10-15T03:13:42Z,Negative,Misleading/Contextual Deception,A true friend 🤣🤣🤣🤣 anamchungia wife.,a true friend rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing anamchungia wife.
648,Others,English,0,2022-10-15T03:12:23Z,Neutral,General Others,Why is this boy fighting for a cheating girl in the name of love🤣🤣🤣🤣🤣?,why is this boy fighting for a cheating girl in the name of love rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing ?
649,Constructive,English,7,2022-10-15T00:45:22Z,Neutral,Performance-based,The guilt on that guy's face ...says it all,the guilt on that guys face ...says it all
650,Others,Swahili,0,2022-10-14T21:59:03Z,Neutral,General Others,Nafeel Ianoo man😩😩,nafeel ianoo man weary_face weary_face
651,Others,Swahili,0,2022-10-14T19:13:58Z,Neutral,General Others,Haka nakagonga walaih....😅,haka nakagonga walaih.. grinning_face_with_sweat
652,Cyberbullying,Kenyan_slang,0,2022-10-14T19:03:35Z,Negative,Body shaming,Kwanza huyu quevo sura yake anaka tu mganga..lakini madem wengine wanafa wauliwe tu ⛔🚮,kwanza huyu <person> sura yake anaka tu mganga..lakini madem wengine wanafa wauliwe tu no_entry litter_in_bin_sign
653,Others,English,0,2022-10-14T18:32:55Z,Neutral,General Others,https://youtube.com/channel/UCuKe1KRlHMAEDlqQ9dAeF8A,
654,Others,Emoji,0,2022-10-14T15:47:04Z,Neutral,General Others,😂😂😂😂😂,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
655,Others,English,0,2022-10-14T13:51:19Z,Neutral,General Others,https://youtu.be/gEP9rzXCjzw another scene bana...😂😂😂😂,another scene bana... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
656,Irony,Kenyan_slang,0,2022-10-14T13:36:39Z,Negative,Hyperbolic understatement,"it's true.. ""kikulacho Kii nguoni mwako""",its true.. kikulacho kii nguoni mwako
657,Constructive,English,1,2022-10-14T11:19:11Z,Positive,Supportive Speech,Wah wah wah💔💔.....I pity that boy..he sounds genius even in his responses to the 'stupid' guy. Najua God atamjalia mema,wah wah wah broken_heart broken_heart ..i pity that boy..he sounds genius even in his responses to the stupid guy. najua god atamjalia mema
658,Others,English,0,2022-10-14T09:02:50Z,Neutral,General Others,The problem is with the girl thats who he should be mad at cause she would cheat with someone else even dont lose you and you boys friendship,the problem is with the girl thats who he should be mad at cause she would cheat with someone else even dont lose you and you boys friendship
659,Constructive,English,0,2022-10-14T07:46:04Z,Neutral,Genuine feedback,Am sorry for that boy men I feel for him the other guy he did so bad so be with her girlfriend,am sorry for that boy men i feel for him the other guy he did so bad so be with her girlfriend
660,Constructive,Swahili,6,2022-10-14T07:38:36Z,Neutral,Supportive Speech,Murio wangu alinifanyia ivo man it takes a long time to forget the pain.,murio wangu alinifanyia ivo man it takes a long time to forget the pain.
661,Others,English,1,2022-10-14T06:05:37Z,Neutral,General Others,I thought niko na shida for not having even a single friend I can share anything with .I'm safe now,i thought niko na shida for not having even a single friend i can share anything with .im safe now
662,Others,Kenyan_slang,1,2022-10-14T05:02:50Z,Neutral,General Others,Am soo sad...this dude is a mess u need to get your shit' together nigga.excuse unapeana no sense.big time bro!Dominican Republic present.asanti plutooooo.,am soo sad...this dude is a mess u need to get your shit together nigga.excuse unapeana no sense.big time bro!dominican republic present.asanti plutoo.
663,Others,Swahili,1,2022-10-14T04:32:32Z,Neutral,General Others,Na huyu jamaa  anacheka tu....Am sorry brother.skiza ngoma moja ya burning spear Grassroots.,na huyu jamaa anacheka tu..am sorry brother.skiza ngoma moja ya burning spear grassroots.
664,Harmful,Swahili,0,2022-10-14T00:23:38Z,Negative,Misleading/Contextual Deception,"Ndio unaona watu wakiuwana 
Ata dem ni mpoa 😂😂",ndio unaona watu wakiuwana ata dem ni mpoa face_with_tears_of_joy face_with_tears_of_joy
665,Cyberbullying,Swahili,1,2022-10-13T19:56:05Z,Neutral,Threats,Mimi siwezi hold on Pluto ata uongeze volume..... Nitapita tuuu,mimi siwezi hold on <person> ata uongeze volume.. nitapita tuuu
666,Offensive,Swahili,0,2022-10-13T18:52:31Z,Negative,Vulgar language (Matusi),Uyo boi ni matako sana nkt anaudhi sanaa alaaniwe,uyo boi ni matako sana nkt anaudhi sanaa alaaniwe
667,Others,Swahili,0,2022-10-13T17:00:42Z,Neutral,General Others,"Wadau nisaidieni na number ya ianoh akh,,,","wadau nisaidieni na number ya <person> akh,,,"
668,Others,Kenyan_slang,0,2022-10-13T15:56:07Z,Neutral,General Others,Inzi ni ngani mehn...mbona kunisanyia ndem moliio...ni za whaat.wueeh uyo amebreak ubro code,inzi ni ngani mehn...mbona kunisanyia ndem moliio...ni za whaat.wueeh uyo amebreak ubro code
669,Others,Swahili,0,2022-10-13T12:56:34Z,Neutral,General Others,"Maorio wa saai wanatukulia madem baba,adi mm wangu mamorio wangu hawawezi mjua😱😱so shocking,bro izah Jo🥺🥺🥲","maorio wa saai wanatukulia madem baba,adi mm wangu mamorio wangu hawawezi mjua face_screaming_in_fear face_screaming_in_fear so shocking,bro izah jo pleading_face pleading_face smiling_face_with_tear"
670,Others,Swahili,0,2022-10-13T12:25:13Z,Neutral,General Others,Is anyone looking at the nduthi man? 😆,is anyone looking at the nduthi man? grinning_squinting_face
671,Cyberbullying,Swahili,0,2022-10-13T11:49:09Z,Negative,Threats,naeza mchapa kofi moja motoo,naeza mchapa kofi moja motoo
672,Others,English,2,2022-10-13T11:10:57Z,Neutral,General Others,Shit is real💔💔💔,shit is real broken_heart broken_heart broken_heart
673,Others,Kenyan_slang,1,2022-10-13T09:33:38Z,Neutral,General Others,Brocode😹😹😹 go wrong,brocode cat_with_tears_of_joy cat_with_tears_of_joy cat_with_tears_of_joy go wrong
674,Others,Swahili,0,2022-10-13T08:35:40Z,Neutral,General Others,Sanitize zingine ka hizi .,sanitize zingine ka hizi .
675,Constructive,Swahili,0,2022-10-13T08:25:30Z,Positive,Genuine feedback,huyo kijana ako mature sana hajapigana,huyo kijana ako mature sana hajapigana
676,Harmful,Swahili,0,2022-10-13T06:40:46Z,Negative,Misleading/Contextual Deception,Iko beshte yangu wa karibu Sana ako na hii tabia Sana. Nlikua na dem flani nkapata Wanachat vile wanaenda kudishiana. Nliwaona tu. Na uyo bich alikua anaitwa terry,iko beshte yangu wa karibu sana ako na hii tabia sana. nlikua na dem flani nkapata wanachat vile wanaenda kudishiana. nliwaona tu. na uyo bich alikua anaitwa <person>
677,Others,English,0,2022-10-13T06:33:52Z,Neutral,General Others,Never ignore the red flag,never ignore the red flag
678,Irony,Swahili,0,2022-10-12T23:04:39Z,Negative,Mock Laughter,Hizi sura personal ndio ziukula madem wa wenyewe😂😂😂😂😂😂,hizi sura personal ndio ziukula madem wa wenyewe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
679,Others,Swahili,0,2022-10-12T22:57:52Z,Neutral,General Others,Weeuh 💀,weeuh skull
680,Others,English,5,2022-10-12T22:44:26Z,Neutral,General Others,This is the real betrayal!!!so hurting,this is the real betrayal!!!so hurting
681,Constructive,English,156,2022-10-12T21:17:30Z,Positive,Genuine feedback,"I just admire Iano's maturity, sorry bro but at least you didn't fight him,walking away is just the best option","i just admire <person>s maturity, sorry bro but at least you didnt fight him,walking away is just the best option"
682,Others,Kenyan_slang,0,2022-10-12T20:46:14Z,Neutral,General Others,Weuh 😂😂😂,weuh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
683,Constructive,English,0,2022-10-12T19:50:48Z,Neutral,Genuine feedback,"Wueh...hii sipoa kabisa,this guy was wrong as much as the girl!!","wueh...hii sipoa kabisa,this guy was wrong as much as the girl!!"
