,category,language,likes,published_at,sentiment,subcategory,text,clean_text
360,Constructive Criticism,Code Switching,0,2025-07-19T21:21:22Z,Neutral,Genuine feedback,I need prayers 🙏😂,i need prayers foldedhands facewithtearsofjoy
361,Constructive Criticism,English,0,2025-07-19T07:49:09Z,Positive,Supportive Speech,"This is just a story, obviously Captain must defend  Hannah coz he is with her now. I can't trust anything Hannah says or provides without a lawyer going through them. Certificate and everything can be faked taking into account Hannah is rich and has money money,she can convince the fools with her documents and chats. Messages can be generated through Fake Messages App. Sabrina never wanted to speak about her past relationship,it was brought up through online chats and she responded maturely.","this is just a story , obviously <name> must defend <name> coz he is with her now . i ca nt trust anything <name> says or provides without a lawyer going through them . certificate and everything can be faked taking into account <name> is rich and has money money , she can convince the fools with her documents and chats . messages can be generated through fake messages app . <name> never wanted to speak about her past relationship , it was brought up through online chats and she responded maturely ."
362,Constructive Criticism,Code Switching,1,2025-07-14T10:23:40Z,Positive,Genuine Praise,you nailed it broo,you nailed it broo
363,Others,Code Switching,0,2025-07-14T09:33:18Z,Neutral,Spam,😂😂😂😂😂nipeni likes if wamewabamba,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy <name> likes if wamewabamba
364,Constructive Criticism,English,0,2025-07-13T07:07:00Z,Positive,Genuine Praise,The guy is here for a comedy,the guy is here for a comedy
365,Hate Speech,Code Switching,0,2025-07-11T23:13:33Z,Negative,Disability,Sasa hio mbilikimo inaeza angusha Culture ? Someone should just gauge his/her wars .,sasa hio mbilikimo inaeza angusha <name> ? someone should just gauge his her wars .
366,Constructive Criticism,Code Switching,0,2025-07-08T20:28:26Z,Neutral,Performance-based,Obina ii ni kitu ulikua umepanga na umekosea sabrina n culture coz wao hawakua wamekuja mabishano,<name> <name> ni kitu ulikua umepanga na umekosea <name> n <name> coz wao hawakua wamekuja mabishano
367,Constructive Criticism,Code Switching,0,2025-07-08T04:21:44Z,Neutral,Genuine feedback,UYU WA RED ANAKAA ALIKUA NAYO TU,uyu wa red anakaa alikua nayo tu
368,Irony/Sarcasm,Code Switching,1,2025-07-07T21:23:35Z,Negative,Mock compliment,Alienda kukuliwa Dubai...and now the cowife is bitter😂😂😂😂,alienda kukuliwa dubai .. and now the cowife is bitter facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
369,Offensive,Code Switching,0,2025-07-06T12:39:23Z,Negative,Sex-based,😂😂😂😂mboro was jus chilling then boooom😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy mboro was jus chilling then boom facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
370,Offensive,Code Switching,0,2025-07-05T01:29:12Z,Negative,Sex-based,Huyu msee ameshika gwatiiii kabla akuje hapa juu wee syo hivi,huyu msee ameshika gwatii <name> <name> hapa <name> <name> syo hivi
371,Irony/Sarcasm,Plain Emoji,0,2025-07-01T19:59:14Z,Neutral,Mock Laughter,😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
372,Constructive Criticism,English,0,2025-07-01T19:51:38Z,Neutral,Genuine feedback,Social media😢 never forgets,social media cryingface never forgets
373,Irony/Sarcasm,Code Switching,0,2025-06-30T23:25:00Z,Negative,Mock compliment,FBI wueeh😂😂😂😂,fbi wueeh facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
374,Offensive,English,0,2025-06-30T06:25:47Z,Negative,Non-personal,this is stupid,this is stupid
375,Constructive Criticism,Code Switching,0,2025-06-27T22:41:41Z,Neutral,Genuine feedback,"apologies to that couple  ,, ujafanya poa🙂‍↔️🙂‍↔️","apologies to that couple , , ujafanya poa slightlysmilingface leftrightarrow slightlysmilingface leftrightarrow"
376,Constructive Criticism,Code Switching,0,2025-06-27T17:27:12Z,Neutral,Genuine feedback,Na support Hannah..coz ako confidence na energetic...bt Sabrina a style up...,na support <name> .. <name> <name> confidence na energetic .. bt <name> a style up ..
377,Irony/Sarcasm,Code Switching,0,2025-06-26T18:04:03Z,Negative,Mock compliment,Wapi results za oasis ya hosi mlienda fast...hii kitu n ukweli hanna ulikua nayo😂😂😂😂😂😂😂alafu waaaaaah huku inje sio kuzuri na jamaa mwenyewe n AK47 na ako na wanawake hao wote😂😂😂😂😂,<name> results za oasis <name> <name> <name> <name> .. <name> <name> n ukweli hanna ulikua nayo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy <name> <name> huku inje sio kuzuri na jamaa mwenyewe n ak47 <name> <name> na wanawake <name> wote facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
378,Constructive Criticism,English,0,2025-06-21T13:17:35Z,Neutral,Performance-based,Very wrong!!!!never do this again Obinna kindly,very wrong!!never do this again <name> kindly
379,Offensive,English,0,2025-06-13T21:50:22Z,Negative,Vulgar language (Matusi),Nonsense,nonsense
380,Irony/Sarcasm,Code Switching,0,2025-06-12T12:48:08Z,Negative,Mock compliment,Hiyo ni kalli😅😅😅,hiyo ni kalli grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
381,Irony/Sarcasm,Code Switching,0,2025-06-12T12:33:58Z,Neutral,Rhetorical Question,Hiyo kiss bana 😮,hiyo kiss bana facewithopenmouth
382,Constructive Criticism,Code Switching,0,2025-06-11T09:41:06Z,Neutral,Genuine feedback,ii couple jamani 😂,ii couple jamani facewithtearsofjoy
383,Constructive Criticism,Code Switching,0,2025-06-09T09:03:07Z,Neutral,Genuine feedback,"Hannah toa results za oasis...this were results for the second test.
Maybe Sabrina is right,who knows.","<name> toa results za oasis .. this were results for the second test . maybe <name> is right , who knows ."
384,Cyberbullying,Code Switching,0,2025-06-07T21:21:18Z,Negative,Direct Insult,Hannah benta you are so very silly,<name> benta you are so very silly
385,Offensive,Code Switching,0,2025-06-05T03:59:26Z,Neutral,Non-personal,The 2ladies yaani hawajipendi kabisaaaa.....sharing a man in the same room....wako too desperate,the 2ladies yaani hawajipendi kabisaa .. sharing a man in the same room .. <name> too desperate
386,Constructive Criticism,Code Switching,0,2025-06-05T03:57:35Z,Neutral,Supportive Speech,Hata kama walipewa dawa na huyo mwanaume wao pia angepatiwa dawa..if not the cycle continues....,hata kama walipewa dawa na huyo mwanaume wao pia angepatiwa dawa .. if not the cycle continues ..
387,Irony/Sarcasm,Plain Emoji,0,2025-06-03T22:00:16Z,Neutral,Mock Laughter,"😂😂😂😂😅😅😅  watching after 3weeks ,,,","facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat watching after 3weeks , , ,"
388,Constructive Criticism,Code Switching,0,2025-06-02T18:08:14Z,Neutral,Genuine feedback,Tunataka results za kisii. Sio za Agha Khan,tunataka results <name> <name> . sio za agha <name>
389,Constructive Criticism,Code Switching,0,2025-06-02T18:07:27Z,Neutral,Performance-based,"Next time, please protect the interviewee.  You should have booked Hanna for another interview.  Waaaah!!","next time , please protect the interviewee . you should have booked <name> for another interview . <name> ! !"
390,Irony/Sarcasm,Code Switching,1,2025-05-26T15:51:55Z,Negative,Mock Laughter,ZIET😂😂😂LOVE CULTURE 💓😂😂😂,ziet facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy love <name> beatingheart facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
391,Constructive Criticism,Code Switching,0,2025-05-26T13:54:39Z,Positive,Genuine Praise,I like the guy😂😂😂 aka na vibe plus ako mature😊😊,i like the guy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy aka na vibe <name> <name> mature smilingfacewithsmilingeyes smilingfacewithsmilingeyes
392,Constructive Criticism,English,0,2025-05-26T10:07:28Z,Positive,Supportive Speech,"On that disease, I think it is misinformation. We need to understand STI, UTI and Candidiasis. In this case I think it was Candidiasis.","on that disease , i think it is misinformation . we need to understand sti , uti and candidiasis . in this case i think it was candidiasis ."
393,Constructive Criticism,Code Switching,0,2025-05-24T20:53:34Z,Positive,Performance-based,Gosh! Obinna you need to apologize to us for making us watch such a dignity-less episode! You are killing your brand,gosh ! <name> you need to apologize to us for making us watch such a dignity less episode ! you are killing your brand
394,Others,English,0,2025-05-24T13:49:07Z,Neutral,General Inquiry,So culture is listening as if he has a woman here,so <name> is listening as if he has a woman here
395,Hate Speech,Code Switching,0,2025-05-24T13:35:54Z,Negative,Ethical/racial group (Tribalism),Haki hawa wakisii wetu watu Nyanchwa wanatuchomea kusinda Cosmoi Choi and Osoro combined,haki hawa wakisii wetu watu nyanchwa wanatuchomea kusinda cosmoi choi and osoro combined
396,Constructive Criticism,Code Switching,0,2025-05-24T12:39:18Z,Neutral,Genuine feedback,"Youngman,you have a long journey to go,you have a Kisii n a Luo woman n these very problematic ,you cannot leave one n enjoy your freedom","youngman , you have a long journey to go , you have a kisii n a luo woman n these very problematic , you can not leave one n enjoy your freedom"
397,Offensive,Code Switching,0,2025-05-24T12:05:16Z,Negative,Sex-based,Hiyo ya 3 some ndio tunataka,hiyo ya 3 some ndio tunataka
398,Others,Code Switching,0,2025-05-24T09:49:40Z,Neutral,General Inquiry,So Sabrina ndio drama queen who broke everything kwa huyu kijana???,so <name> ndio drama queen who broke everything kwa huyu <name> ? ? ?
399,Cyberbullying,Code Switching,0,2025-05-21T08:17:45Z,Negative,Direct Insult,Hannah n takataka Tu tena ya kayole 😂😂😂😂,<name> n <name> <name> tena <name> <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
400,Constructive Criticism,Code Switching,1,2025-05-20T11:03:20Z,Neutral,Genuine Praise,Culture is vibe men,<name> is vibe men
401,Constructive Criticism,Code Switching,0,2025-05-19T17:24:09Z,Neutral,Genuine feedback,I bet deep down culture alitoka hapa akisema Huyu Dame akoh naye Ni temporarily option,i bet deep down <name> alitoka hapa akisema huyu dame akoh <name> <name> temporarily option
402,Offensive,Code Switching,0,2025-05-19T08:39:08Z,Negative,Non-personal,a very useless episode obinna..hawa watu wa tiktok achana nao kabsaaaa..not educative.,a very useless episode <name> .. <name> <name> wa tiktok achana nao kabsaa .. not educative .
403,Offensive,Code Switching,0,2025-05-19T08:02:51Z,Negative,Vulgar language (Matusi),mmeamua kutuletea 3vienyejiz  wa kucome kwa show😁,mmeamua kutuletea 3vienyejiz wa kucome kwa show beamingfacewithsmilingeyes
404,Others,Code Switching,0,2025-05-18T06:54:27Z,Neutral,General Others,aaah heee,aah hee
405,Irony/Sarcasm,Code Switching,0,2025-05-18T05:07:24Z,Negative,Mock compliment,Something is just off about this interview 😂,something is just off about this interview facewithtearsofjoy
406,Irony/Sarcasm,Code Switching,1,2025-05-17T22:58:30Z,Negative,Mock Laughter,KENYAAAAAAA😅😂🤣,kenyaa grinningfacewithsweat facewithtearsofjoy rollingonthefloorlaughing
407,Constructive Criticism,Code Switching,0,2025-05-17T18:30:25Z,Neutral,Genuine feedback,"The show is okay,let everything That is hodden in the dark be exposed to moonlight.","the show is okay , let everything that is hodden in the dark be exposed to moonlight ."
408,Constructive Criticism,Code Switching,0,2025-05-17T18:27:42Z,Neutral,Decision-criticism,Sabrina is lying.,<name> is lying .
409,Constructive Criticism,English,0,2025-05-17T02:26:59Z,Neutral,Performance-based,"very boring host,..show was super dull,..","very boring host, .. show was super dull , .."
410,Offensive,Code Switching,0,2025-05-16T21:47:15Z,Neutral,Non-personal,I thank my self for being a Kalenjin..we can't do this,i thank my self for being a kalenjin .. we ca nt do this
411,Constructive Criticism,Code Switching,0,2025-05-16T17:17:10Z,Neutral,Performance-based,The world of usherati mungu wangu,the world of usherati mungu wangu
412,Constructive Criticism,Code Switching,0,2025-05-16T15:22:28Z,Neutral,Performance-based,To this now Obina umekosea uyo jamaa heshima.,to this now <name> umekosea uyo jamaa heshima .
413,Constructive Criticism,Code Switching,0,2025-05-15T21:36:56Z,Neutral,Performance-based,"Silence is the best weapon Hannah..coming here wasnt necessary,Obinna that wasnt fair to culture and his chick","silence is the best weapon <name> .. coming here was nt necessary , <name> that was nt fair to <name> and his chick"
414,Offensive,Code Switching,0,2025-05-15T21:30:10Z,Negative,Vulgar language (Matusi),Kijana ni mushamba,<name> ni mushamba
415,Irony/Sarcasm,Code Switching,1,2025-05-15T20:36:08Z,Negative,Mock compliment,Culture is like yooh hizi ni Gani sasa...no mata wati simuachi😅😅😅,<name> is like yooh hizi ni gani sasa .. no mata <name> simuachi grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
416,Constructive Criticism,English,0,2025-05-15T10:14:44Z,Positive,Genuine feedback,Must she raise her voice to drive a point.,must she raise her voice to drive a point .
417,Cyberbullying,English,0,2025-05-14T20:58:33Z,Negative,Direct Insult,The lady on red is so thick headed,the lady on red is so thick headed
418,Cyberbullying,Code Switching,0,2025-05-14T20:32:48Z,Negative,Direct Insult,Kiherehere hannah benta. Kafala tu,kiherehere <name> benta . kafala tu
419,Irony/Sarcasm,Code Switching,0,2025-05-14T18:53:59Z,Negative,Mock compliment,Obinna being a big bro na bado anaokota mushene😅😂😂😂😂😂😂😂,<name> being a big bro na bado anaokota mushene grinningfacewithsweat facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
420,Constructive Criticism,Code Switching,0,2025-05-14T14:03:39Z,Neutral,Genuine feedback,Culture knows how to carry himself around chaos😅😅😅much respect,<name> knows how to carry himself around chaos grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat much respect
421,Constructive Criticism,Code Switching,0,2025-05-14T14:01:43Z,Neutral,Genuine feedback,Captain was watching so he had to cover @Hannah benta,<name> was watching so he had to cover <name> benta
422,Irony/Sarcasm,Code Switching,0,2025-05-14T13:37:11Z,Negative,Mock compliment,Beib analia mbona😂😂,<name> analia mbona facewithtearsofjoy facewithtearsofjoy
423,Constructive Criticism,English,0,2025-05-14T05:55:41Z,Positive,Genuine Praise,"I came to watch Hannah ,,,, 
Her heart is not like ours","i came to watch <name> , , , , her heart is not like ours"
424,Cyberbullying,Code Switching,0,2025-05-14T00:29:27Z,Negative,Direct Insult,The couple said Hannah aitwe na obinna akamuita. I think they thought hatakuja. Sàbrina is childish na uongo mob.,the couple said <name> aitwe na <name> <name> . i think they thought hatakuja . sbrina is childish na uongo mob .
425,Constructive Criticism,English,0,2025-05-14T00:27:04Z,Positive,Supportive Speech,Hannah is right 💯💯💯,<name> is right hundredpoints hundredpoints hundredpoints
426,Irony/Sarcasm,Code Switching,0,2025-05-13T21:09:12Z,Negative,Mock compliment,Hanna kaswende  Bentah,hanna kaswende bentah
427,Others,Code Switching,0,2025-05-13T20:00:27Z,Neutral,General Inquiry,Wait captain c mwenye ako Kwa show,wait <name> c <name> <name> <name> show
428,Constructive Criticism,Code Switching,0,2025-05-13T18:25:49Z,Neutral,Performance-based,As a kisii Lady..I swear nimewatch hii interview na Aibu Kibao😂Obinna next time aki mind watu unaleta show,as a kisii lady .. i swear nimewatch <name> <name> na <name> <name> facewithtearsofjoy <name> next time aki mind watu unaleta show
429,Offensive,Code Switching,0,2025-05-13T14:38:36Z,Negative,Vulgar language (Matusi),"OBINA HII KITU UNGEMALIZA TIME THE COUPLE WENT OUT ,,,,,,, UKO NA UFALA PIA","<name> <name> <name> <name> <name> the couple went out , , , , , , , <name> <name> ufala pia"
430,Hate Speech,English,0,2025-05-13T14:23:50Z,Negative,Gender based,MEN!!! Never trust any living female creature,men ! ! ! never trust any living female creature
431,Irony/Sarcasm,Code Switching,0,2025-05-13T13:28:42Z,Negative,Mock compliment,Huyu Hannah Benta anafaa achunguzwe😂😂 hayuko normal😂,huyu <name> <name> anafaa achunguzwe facewithtearsofjoy facewithtearsofjoy hayuko normal facewithtearsofjoy
432,Irony/Sarcasm,Code Switching,0,2025-05-13T13:22:19Z,Negative,Mock compliment,Kaswende gang😂😂😂😂,kaswende gang facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
433,Constructive Criticism,Code Switching,0,2025-05-13T13:00:24Z,Neutral,Decision-criticism,Hao wasichana wamenikasirisha hadi sijavuta sigara leo 😒😒,hao <name> <name> hadi sijavuta sigara leo unamusedface unamusedface
434,Constructive Criticism,English,0,2025-05-12T22:42:22Z,Neutral,Genuine feedback,From my look dem anataka obina,from my look dem anataka obina
435,Constructive Criticism,Code Switching,0,2025-05-12T20:54:52Z,Neutral,Performance-based,@obinna it wasn't fair to allow Hanna Benta to crush interview ya wenyewe,<name> it was nt fair to allow hanna benta to crush interview ya wenyewe
436,Irony/Sarcasm,Code Switching,0,2025-05-12T20:16:54Z,Negative,Mock compliment,Dunia simama nishuke 🙆🏽‍♀️🙆🏽‍♀️🙆🏽‍♀️,dunia simama nishuke persongesturingok mediumskintone femalesign persongesturingok mediumskintone femalesign persongesturingok mediumskintone femalesign
437,Offensive,Code Switching,0,2025-05-12T20:15:32Z,Negative,Non-personal,Mkisii hapa tu ni mjinga ako na bwana yake hapo still anafeel Captain.,mkisii hapa <name> <name> <name> <name> na bwana yake hapo still anafeel <name> .
438,Cyberbullying,English,1,2025-05-12T19:23:23Z,Negative,Direct Insult,"Obina need to be taken to hospital with his fellow idiots this is filth and nonsense interview ever in this country 

You have ebarased us but there is your pay with this idiot sily girls 

Shame in you all",<name> need to be taken to hospital with his fellow idiots this is filth and nonsense interview ever in this country you have ebarased us but there is your pay with this idiot sily girls shame in you all
439,Constructive Criticism,English,0,2025-05-12T18:09:19Z,Neutral,Performance-based,its not fare obinna for someone to come from nowhere and interfere your show sir,its not fare <name> for someone to come from nowhere and interfere your show sir
440,Irony/Sarcasm,Code Switching,0,2025-05-12T14:02:01Z,Negative,Mock Laughter,Sabrina alisahau kubeba filters 😅😅😅,<name> alisahau kubeba filters grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
441,Constructive Criticism,Code Switching,0,2025-05-12T13:10:37Z,Neutral,Genuine feedback,Hannah anasema ukweli 😂😂😂😂😂😂,<name> anasema ukweli facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
442,Constructive Criticism,Code Switching,1,2025-05-12T12:40:56Z,Neutral,Supportive Speech,But l feel hanna how can you blame someone kitu hana haifai hata ingekuwa mimi ningempiga 😂,but l feel hanna how can you blame someone <name> <name> <name> <name> ingekuwa <name> ningempiga facewithtearsofjoy
443,Constructive Criticism,Code Switching,0,2025-05-12T11:07:25Z,Neutral,Performance-based,"Coming from the three men army to this.. i feel like hawa wako soo boring, na utoto","coming from the three men army to this .. i feel like hawa wako soo boring , na utoto"
444,Offensive,Code Switching,0,2025-05-12T10:25:47Z,Negative,Non-personal,Yaani hawa wasichana are they really normal??sharig a man sama room .....degrading themselves  ..i hate both of you,yaani hawa wasichana are they really normal??sharig a man sama room .. degrading themselves .. i hate both of you
445,Irony/Sarcasm,Plain Emoji,0,2025-05-12T09:09:56Z,Neutral,Mock Laughter,😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
446,Constructive Criticism,Code Switching,0,2025-05-12T07:25:32Z,Neutral,Genuine feedback,Hii accent ni mbaya sana......,hii accent ni mbaya <name> ..
447,Constructive Criticism,Code Switching,0,2025-05-12T07:03:03Z,Neutral,Supportive Speech,being desperate in mbaya young girls lets work hard girls,being desperate in mbaya young girls lets work hard girls
448,Constructive Criticism,Code Switching,0,2025-05-11T23:51:12Z,Neutral,Performance-based,"Yoh!!,,,,Obina u should tell this couple as their elder bro that they still need to learn more in relationship and take their time coz for sure they seem to be younger in relationship.","yoh!!,,obina u should tell this couple as their elder bro that they still need to learn more in relationship and take their time coz for sure they seem to be younger in relationship ."
449,Irony/Sarcasm,Code Switching,1,2025-05-11T18:52:20Z,Negative,Hyperbolic understatement,The bar is invincible,the bar is invincible
450,Irony/Sarcasm,Code Switching,0,2025-05-11T18:05:39Z,Negative,Mock compliment,Makalatas 😂😂😂😂,makalatas facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
451,Irony/Sarcasm,Code Switching,0,2025-05-11T16:57:14Z,Negative,Mock compliment,😂😂😂😂😂kaswede family. ...,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy <name> family . ..
452,Constructive Criticism,Code Switching,0,2025-05-11T12:46:47Z,Neutral,Supportive Speech,Hadi mm siwezi kubali kushikwa nkicheat 😂😂😂😂,<name> <name> siwezi <name> <name> nkicheat facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
453,Offensive,Code Switching,0,2025-05-11T09:39:30Z,Negative,Vulgar language (Matusi),Huyu jamaa ni fala kivyake wueeeh,huyu jamaa ni fala kivyake wueeh
454,Others,Code Switching,0,2025-05-11T08:19:53Z,Neutral,General Others,skinfinity tattoos,skinfinity tattoos
455,Constructive Criticism,Code Switching,0,2025-05-11T07:27:30Z,Neutral,Performance-based,"The worst interview..so disgusting alafu obinna is arrogant ati tufinye stop
We sympathize and move on obinna usituletee😂kusprashiwa na maji cs am driving meaning sabrina isn't
😂must Hannah talk while touching obinna.🥴🙄",the worst interview .. so disgusting <name> <name> is arrogant ati tufinye stop we sympathize and move on <name> usituletee facewithtearsofjoy <name> na maji cs am driving meaning <name> is nt facewithtearsofjoy must <name> talk while touching <name> . woozyface facewithrollingeyes
456,Constructive Criticism,Code Switching,5,2025-05-11T04:29:39Z,Neutral,Genuine feedback,May this kind of relationship never meet me,may this kind of relationship never meet me
457,Constructive Criticism,English,0,2025-05-10T22:05:26Z,Positive,Genuine feedback,Was planned,was planned
458,Others,Code Switching,0,2025-05-10T21:51:14Z,Neutral,General Inquiry,Results za oasis hizo wapi?,results za oasis hizo wapi ?
460,Irony/Sarcasm,Code Switching,1,2025-05-10T20:12:16Z,Negative,Mock compliment,Not Obinna saying ziet😂😂😂,not <name> saying ziet facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
461,Constructive Criticism,Code Switching,0,2025-05-10T20:07:54Z,Neutral,Genuine feedback,Saa mbona hajaonyeshana results za oasis😂😂nkt,<name> <name> <name> results za oasis facewithtearsofjoy facewithtearsofjoy nkt
462,Offensive,Code Switching,3,2025-05-10T20:06:38Z,Negative,Vulgar language (Matusi),All of this girl's+ the Captain wote in immature sana💯,all of this girls the <name> wote in immature sana hundredpoints
463,Others,Code Switching,1,2025-05-10T18:32:56Z,Neutral,General Inquiry,Were the parents watching all these 😢😢😢,were the parents watching all these cryingface cryingface cryingface
464,Offensive,Code Switching,0,2025-05-10T17:19:57Z,Negative,Vulgar language (Matusi),Hawa wanakaa shortwire😅!,hawa <name> shortwire grinningfacewithsweat !
465,Constructive Criticism,Code Switching,2,2025-05-10T15:01:41Z,Positive,Genuine Praise,Honor thyself❤,honor thyself redheart
466,Constructive Criticism,English,10,2025-05-10T15:01:28Z,Positive,Genuine Praise,Let us value and honour ourself❤,let us value and honour ourself redheart
467,Constructive Criticism,Code Switching,4,2025-05-10T13:17:03Z,Neutral,Genuine feedback,I won't defend Sabrina coz it's not good  kuaribia mtu jina ...also Betta ungegate crush interview ya wenyewe 😂,i wo nt defend <name> coz it s not good kuaribia mtu jina .. also betta ungegate crush interview ya wenyewe facewithtearsofjoy
468,Offensive,Code Switching,1,2025-05-10T13:11:16Z,Negative,Non-personal,Watu waoge tu jamani😂,watu <name> <name> <name> facewithtearsofjoy
469,Irony/Sarcasm,Code Switching,0,2025-05-10T12:32:17Z,Negative,Mock compliment,The funny part is that wote wali insert 😅😅😅😅😅😅😅😅😅,the funny part is that wote wali insert grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
470,Offensive,Sheng,0,2025-05-10T10:46:19Z,Negative,Vulgar language (Matusi),HII JANGO HAINA KICHWA FITI,hii jango haina kichwa fiti
471,Constructive Criticism,Code Switching,1,2025-05-10T10:33:15Z,Neutral,Performance-based,Finally Kuna guests wamewalk out before show iishe😢😂😂 Obinna sasa atulie asiwalk out of interviews 😅😂,finally kuna guests wamewalk out before show iishe cryingface facewithtearsofjoy facewithtearsofjoy <name> sasa atulie asiwalk out of interviews grinningfacewithsweat facewithtearsofjoy
472,Others,Code Switching,0,2025-05-10T08:34:47Z,Neutral,General Inquiry,Hanna hangeomba interview badala ya kuingilia ya wenyewe?baaad,hanna hangeomba interview <name> <name> <name> ya wenyewe?baad
473,Constructive Criticism,Code Switching,0,2025-05-10T07:56:01Z,Neutral,Decision-criticism,"Hii ya kudate sijui kujuana hapo panakaa kauongo,,","<name> <name> <name> sijui <name> <name> panakaa kauongo , ,"
474,Offensive,Code Switching,0,2025-05-10T07:13:07Z,Negative,Vulgar language (Matusi),"Hii n upuzi, utoto na upumbavu","hii n upuzi , utoto na upumbavu"
475,Offensive,Code Switching,0,2025-05-10T07:04:10Z,Neutral,Non-personal,"This man doesn't understand English  ,the accent ...yawa...kiswahili, english ni kikisii tupu","this man does nt understand english , the accent .. <name> .. kiswahili , english ni kikisii tupu"
476,Others,Code Switching,0,2025-05-10T06:02:48Z,Neutral,General Others,Live starts @ 15.:30 min team udaku jump jump,live starts 15.30 min team udaku jump jump
477,Constructive Criticism,English,0,2025-05-10T05:51:53Z,Positive,Genuine Praise,"Jump to 4mins guys ,thank me later","<name> to 4mins guys , thank me later"
478,Cyberbullying,Code Switching,1,2025-05-10T04:42:58Z,Neutral,Direct Insult,"This so called Hannah is so disrespectful, again Obina why would you allow Hannah to intervene with interview sio yake, she was to be called for her interview sio kuingilia interview ya wengine","this so called <name> is so disrespectful , again <name> why would you allow <name> to intervene with interview sio yake , she was to be called for her interview sio kuingilia <name> <name> <name>"
479,Irony/Sarcasm,Code Switching,0,2025-05-10T01:16:24Z,Neutral,Mock compliment,This girl is a pick me,this girl is a pick me
480,Constructive Criticism,Code Switching,0,2025-05-10T01:16:00Z,Neutral,Genuine feedback,2minutes away from you na you are bringing results weee kwani uwa unatembea nazo?obi na Hannah walikua wamepanga.,2minutes away from you na you are bringing results wee kwani uwa unatembea nazo?obi na <name> walikua wamepanga .
481,Constructive Criticism,English,1,2025-05-10T00:59:22Z,Positive,Genuine feedback,Me i dont see any issue with hanna,me i do nt see any issue with hanna
482,Constructive Criticism,Code Switching,0,2025-05-10T00:38:52Z,Neutral,Performance-based,Obina this is very wrong it’s in inappropriate for you to accept Hannah akuje huko you could have organized a different show for her ajitetee,<name> this is very wrong it s in inappropriate for you to accept <name> akuje huko you could have organized a different show for her ajitetee
483,Others,English,0,2025-05-09T22:46:07Z,Neutral,Spam,Upcoming youtubers let's gather here and grow together,upcoming youtubers let s gather here and grow together
484,Offensive,Code Switching,0,2025-05-09T21:57:51Z,Neutral,Non-personal,Them. Ho's everywhere,them . <name> s everywhere
485,Cyberbullying,Code Switching,0,2025-05-09T21:51:18Z,Negative,Direct Insult,"Obina i have just started hating you,,,,","<name> i have just started hating you , , , ,"
486,Constructive Criticism,Code Switching,0,2025-05-09T21:03:59Z,Positive,Genuine Praise,I like tye authenticity of this guy mimi ka mkiisii much supportt nigga😉,i like tye authenticity of this guy <name> ka mkiisii much <name> <name> winkingface
487,Offensive,English,1,2025-05-09T20:00:47Z,Neutral,Non-personal,"The kind of men these ladies date shows all how they are.... no class, no brains at all😢","the kind of men these ladies date shows all how they are .. no class , no brains at all cryingface"
488,Constructive Criticism,English,0,2025-05-09T19:34:55Z,Neutral,Genuine feedback,I don't know if i can stand this if she was my girlfriend,i do nt know if i can stand this if she was my girlfriend
